#  z        dl        sig_dl
0.76668 4967.52430  413.22033
0.90173 5656.65901  393.68457
0.71868 3871.06087  269.14546
0.57960 3059.00368  168.65456
0.96074 6484.10442  425.73676
0.64864 3608.52734  264.27194
0.93675 5550.60088  359.20325
0.46156 2526.56223  129.34910
0.67065 4045.66576  330.75947
0.24649 1208.11979   60.12550
0.63822 3531.91302  299.33104
0.53532 2909.97997  148.57633
0.77307 4844.06542  393.24486
0.37050 1907.69965   91.64700
0.69916 4244.14292  337.79847
0.37350 1872.27656   89.60030
0.85298 5140.90999  357.07979
0.60326 3694.96220  243.20145
0.53433 2719.31802  161.44955
0.40048 2004.56434  106.27210
0.37150 1951.05719   96.56069
0.83999 4519.18375  315.87309
0.53278 2896.00962  151.86475
0.93225 6177.31859  597.93411
0.55381 3211.88509  183.74077
0.84214 5190.62913  444.21134
0.72767 4204.74826  383.17749
0.44255 2424.20867  126.95634
0.28251 1461.90786   72.25097
0.51961 2868.99638  144.03911
1.06080 6129.99330  463.47341
0.26849 1257.33209   60.86626
0.25050 1216.91432   62.44090
0.69816 4059.56968  405.94179
0.73012 4014.94869  353.49090
0.99781 5921.61271  259.93026
0.40946 2188.76936  109.83763
0.12679  573.56151   31.60943
0.25577 1308.82023  109.59678
0.08859  379.04433   18.51504
0.11782  488.30368   22.28885
0.18356  810.99840   47.96329
0.14055  667.11392   35.75118
0.15171  643.66516   30.61075
0.09400  424.42406   20.10612
0.28631 1536.52631  106.44169
0.26318 1322.87863   87.10199
0.14167  644.68861   31.08999
0.16053  686.40431   36.54784
0.12290  535.74731   28.78516
0.12620  529.30988   27.54941
0.17331  759.78375   34.73317
0.16448  718.37300   35.83459
0.16018  683.23483   34.75839
0.24488 1055.91753   63.12896
0.24805 1112.62804   68.85121
0.27511 1330.91402   95.04860
0.33015 1723.53457  126.14436
0.33070 1643.50110  112.11120
0.16040  703.44476   35.49493
0.21861 1056.84184   65.39907
0.12005  529.26113   24.88970
0.17818  990.07934   58.64553
0.27900 1413.28581   86.34977
0.18562  884.56551   52.88453
0.06641  280.29800   14.64054
0.25769 1274.97010   83.88884
0.27946 1274.85268   82.09016
0.26550 1153.93142   69.14826
0.18478  841.49202   40.92963
0.05715  240.65229   11.88252
0.32601 1529.88927  103.16325
0.10902  483.52619   22.90595
0.20299  977.28223   62.20882
0.37949 1894.47989  121.72734
0.21198  972.36653   55.06587
0.21327 1015.28975   63.78643
0.14393  656.37193   34.16271
0.25218 1212.16014   89.86176
0.25641 1273.97234  102.62986
0.21860 1109.68573   86.12393
0.07883  361.35994   20.31429
0.08328  396.97211   21.21920
0.17008  793.92595   39.12801
0.23643 1060.01009   69.94047
0.30538 1336.78019  121.69725
0.08286  357.75029   17.38427
0.18905  777.64252   42.51622
0.08162  356.61532   17.12379
0.25626 1262.64133   93.89490
0.12631  584.85741   36.32661
0.10280  481.22702   31.98455
0.12440  556.77535   25.79894
0.37003 2198.51787  165.66747
0.20192  845.64873   44.69579
0.18004  969.37095   64.00467
0.16163  753.66787   45.09341
0.22644 1060.27861   68.85937
0.29649 1377.14605   91.72173
0.24999 1230.92049   75.43429
0.14864  681.75762   33.38007
0.14711  638.55749   30.39726
0.21490 1231.31735   84.10757
0.14462  648.81368   41.73351
0.13226  685.26729   42.07403
0.21950 1122.30268   69.57913
0.38447 2143.63086  147.56041
0.17420  830.27125   42.64016
0.17772  777.48139   43.83241
0.29911 1425.44347   85.41836
0.11870  549.22462   33.87307
0.17685  790.56940   38.59844
0.24526 1333.64426  115.60685
0.19590  911.27614   50.09523
0.24832 1173.03238   71.64361
0.30617 1604.75967  119.26222
0.24616 1206.09079   72.52384
0.13527  697.30054   36.45355
0.21028  950.69235   58.45817
0.23603 1204.86947   68.34368
0.17831  841.53077   43.95487
0.22043 1031.78688   73.40098
0.31468 1636.89190  118.52132
0.18460  912.74613   47.00193
0.26110 1232.31008   78.69802
0.18122  780.35102   37.86592
0.38003 1805.13630  125.21573
0.18460  846.31103   42.17753
0.20824  957.03980   53.22811
0.17746  826.51359   49.12832
0.31555 1560.84580  110.39102
0.24954 1212.04850   69.61621
0.20324  955.38848   52.60821
0.12347  541.95097   25.67369
0.20314  952.29170   52.78859
0.15352  749.06585   36.20982
0.33398 1725.75842  126.54558
0.19582  903.06706   47.87615
0.24943 1162.46531   77.34308
0.15490  716.17639   35.06527
0.15625  703.99569   40.84060
0.15819  650.68381   37.08849
0.30900 1630.34682  147.82209
0.24828 1189.10444   76.02097
0.18484  818.74752   46.57372
0.18353  894.29335   51.36537
0.18212  843.19884   53.46015
0.17675  807.40233   47.97375
0.17748  731.74540   40.83263
0.07180  283.41315   16.36973
0.13796  606.13589   29.24475
0.16941  877.06140   53.20344
0.24527  986.18865   66.79577
0.14406  650.62388   31.42117
0.25163 1249.56830   84.14558
0.03743  160.01474    8.59375
0.27716 1683.21658  159.32200
0.28712 1268.70310   87.12877
0.19845  937.62677   60.00846
0.16031  733.17897   43.56359
0.21053 1129.06774   78.39733
0.23753 1129.63984   68.47307
0.15499  756.01428   41.07257
0.09390  436.42538   30.04207
0.15253  736.39359   38.51422
0.25693 1272.97537   84.78367
0.21231 1023.59935   61.43252
0.24583 1063.87352   64.11914
0.13679  635.28705   32.40691
0.32529 1702.23690  141.83470
0.10643  465.66114   21.97384
0.40080 2047.24585  151.06242
0.18910  885.68645   53.17591
0.19731  865.04759   44.70507
0.12783  578.52216   35.17368
0.12291  547.07894   26.03001
0.12687  587.01608   28.02485
0.21311  966.65166   63.62476
0.21075  989.46401   57.85710
0.26826 1404.94719   98.84738
0.20431  961.32448   55.06045
0.26991 1279.91167   74.84049
0.24162 1112.11577   77.73250
0.29080 1250.83493   84.37491
0.35306 1634.36856  114.04771
0.28509 1480.64178  105.26417
0.21929  964.67273   68.15995
0.17537  793.46907   45.64743
0.23517 1118.35581   75.10372
0.15298  707.83169   35.73259
0.20982 1073.86577   78.34822
0.29121 1425.24656   98.53593
0.31353 1638.70206  112.80279
0.13672  628.11621   32.92352
0.29532 1600.14744  141.87787
0.30369 1410.10028   87.68145
0.20532  991.53945   61.70059
0.12175  522.69699   23.60595
0.17424  789.55066   40.16702
0.24862 1231.85616   79.40664
0.24530 1183.53199   76.89127
0.13816  660.54134   35.56628
0.24288 1136.55380   61.51086
0.24237 1221.54649   85.49380
